Pais,Año,Brecha,Desempleo,GP Social,Ganancias,Propiedad,PIB,S. Min. Real,IPC
Paraguay,2006,4.66846755761322,5.2764991,12.159554,1.2681,0.327,2436.886174,106.7,55.8702482
Paraguay,2007,4.47348504701307,4.7132678,11.231654,1.3671,0.3055,3203.356513,103.9,60.41276427
Paraguay,2008,4.30368720898359,4.4152274,10.149594,1.4647,0.2441,4377.545789,101.3,66.5475499
Paraguay,2009,4.40867244459878,5.4400795,12.357746,1.9751,0.2286,3927.470026,102,68.27242697
Paraguay,2010,4.38405636368627,4.5684966,11.568015,1.6233,0.2139,4701.161944,102.5,71.4478887
Paraguay,2011,4.68529029723806,4.6257048,12.596025,1.8451,0.2075,5780.304509,105.2,77.34517475
Paraguay,2012,4.25245253382925,3.8044308,15.207143,1.972,0.2011,5621.861238,103.9,80.1883207
Paraguay,2013,4.11665243418624,4.405654,14.13252,1.8621,0.2193,6444.686004,101.2,82.34046087
Paraguay,2014,4.17270736941976,5.0176126,14.510286,2.0433,0.2086,6627.445469,104.3,86.48122076
Paraguay,2015,4.22070642244751,4.5991465,15.384374,2.0785,0.2311,5875.198905,102.73,89.18722053
Paraguay,2016,4.05112172156876,5.2545652,14.933155,2.1559,0.2792,5760.425426,99.31994244,92.8321442
Paraguay,2017,3.76880260308433,4.6146147,15.247048,2.3033,0.2581,6135.292712,104.5919593,93.31215585
Paraguay,2018,3.86716700204861,4.8523707,15.362684,2.2814,0.1803,6245.089502,104.3149921,100
Paraguay,2019,3.87452279499616,4.9586143,16.628817,2.5404,0.1873,5807.487175,105.2242102,102.7570973
Paraguay,2020,3.71453506145133,6.4246946,20.64218,2.4885,0.1673,5352.167753,105.34,104.5733453
Paraguay,2021,3.52773161369216,5.9610844,15.9679319047619,2.5621,0.1807,5958.967865,104.48,107.0703
Perú,1995,6.18495539399207,4.83979232492308,17.9003988723885,3.012,0.562168225108225,2182.949632,46.4,44.68411474
Perú,1996,6.01009210648353,4.78306172000001,18.0483707244495,3.8076,0.554527056277056,2219.196171,47.8,49.84467053
Perú,1997,5.74176085732063,5.6281375,18.1963425765105,3.8128,0.546885887445889,2292.251843,84,54.10475342
Perú,1998,5.44316732614626,4.9519592,18.3443144285714,3.686,0.53924471861472,2149.263016,93.2,58.0300403
Perú,1999,5.45058342712674,4.4368028,21.667313,3.0575,0.531603549783551,1912.397077,90,60.04317726
Perú,2000,5.11466647778416,3.9074541,21.361815,2.8878,0.523962380952382,1941.265475,100,62.29921887
Perú,2001,5.1801607686348,4.688188,18.466811,3.0246,0.5116,1926.675725,101.2,63.53037604
Perú,2002,5.18764292007191,5.5154373,17.800846,3.1404,0.4549,2004.655153,101,63.65207072
Perú,2003,4.71255967758781,4.5508723,18.811269,3.8868,0.2255,2126.589011,102.2,65.09035983
Perú,2004,4.8780972684697,4.7503919,18.244751,3.9405,0.5339,2394.105155,106.9,67.47364973
Perú,2005,5.03337186308684,4.5718075,19.04787,4.8845,0.5475,2702.938273,105.1,68.56521201
Perú,2006,5.21320571034586,4.0526474,18.593971,6.7969,0.4936,3123.859112,112,69.93735426
Perú,2007,5.23135562674462,4.0186497,16.76866,7.5507,0.6036,3578.687933,111.7,71.18058841
Perú,2008,4.87910309502025,3.8668156,18.520952,7.2609,0.613,4191.538057,114.5,75.30119708
Perú,2009,4.59777244989567,3.8000226,20.83361,5.9144,0.5569,4177.446968,111.2,77.51154705
Perú,2010,4.33701399138862,3.3437729,20.063001,6.4921,0.5314,5048.834209,110.1,78.69710868
Perú,2011,4.22776904882735,3.3074603,19.239062,7.5073,0.3986,5829.250049,120.7,81.34860304
